municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Galapagar                                   ;2020/04/14 07:00:00;49;147,72;136;410,01;611
Griñón                                      ;2020/04/14 07:00:00;27;233,85;67;580,29;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/14 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/14 07:00:00;6;198,94;31;1027,85;88
Carabaña                                    ;2020/04/14 07:00:00;;114,42;11;629,29;357
Talamanca de Jarama                         ;2020/04/14 07:00:00;12;383,14;21;670,5;1454
Chapinería                                  ;2020/04/14 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/14 07:00:00;19;74,03;142;553,26;409
Ajalvir                                     ;2020/04/14 07:00:00;;84,28;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/14 07:00:00;25;141,12;67;378,21;1317
Gascones                                    ;2020/04/14 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/14 07:00:00;16;78,57;63;309,35;1322
Móstoles                                    ;2020/04/14 07:00:00;578;264,47;1507;689,55;920
Leganés                                     ;2020/04/14 07:00:00;1030;523,09;2450;1244,24;745
Braojos                                     ;2020/04/14 07:00:00;;0;;1242,24;246
Cubas de la Sagra                           ;2020/04/14 07:00:00;8;144,27;20;360,69;506
Algete                                      ;2020/04/14 07:00:00;45;202,66;84;378,29;91
Mejorada del Campo                          ;2020/04/14 07:00:00;60;244,84;152;620,26;843
Loeches                                     ;2020/04/14 07:00:00;18;259,7;48;692,54;758
Parla                                       ;2020/04/14 07:00:00;201;147,03;594;434,51;1065
Fuentidueña de Tajo                         ;2020/04/14 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/14 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/14 07:00:00;;0;8;996,26;1533
Anchuelo                                    ;2020/04/14 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/14 07:00:00;16;399,3;37;923,38;875
Soto del Real                               ;2020/04/14 07:00:00;20;204,16;49;500,2;1441
Valverde de Alcalá                          ;2020/04/14 07:00:00;;0;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/14 07:00:00;13;152,22;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/14 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/14 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/14 07:00:00;13;215,8;21;348,61;339
Valdeavero                                  ;2020/04/14 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/14 07:00:00;;146,84;;440,53;1739
Cobeña                                      ;2020/04/14 07:00:00;16;214,56;36;482,77;416
Fresnedillas de la Oliva                    ;2020/04/14 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/14 07:00:00;6;235,2;13;509,6;1659
El Berrueco                                 ;2020/04/14 07:00:00;;778,82;7;1090,34;210
Pezuela de las Torres                       ;2020/04/14 07:00:00;;0;;384,62;1111
Villar del Olmo                             ;2020/04/14 07:00:00;;298,51;;398,01;1795
Guadarrama                                  ;2020/04/14 07:00:00;47;297,51;90;569,69;685
San Martín de Valdeiglesias                 ;2020/04/14 07:00:00;17;199,32;51;597,96;1338
Torrelodones                                ;2020/04/14 07:00:00;40;154,24;106;408,73;1527
Boadilla del Monte                          ;2020/04/14 07:00:00;69;130,59;208;393,66;225
Torrejón de Velasco                         ;2020/04/14 07:00:00;;75,93;14;354,34;1505
Villanueva de Perales                       ;2020/04/14 07:00:00;;311,2;;518,67;1782
Tielmes                                     ;2020/04/14 07:00:00;;133,16;29;1287,17;1467
San Sebastián de los Reyes                  ;2020/04/14 07:00:00;182;198,38;362;394,59;1343
Guadalix de la Sierra                       ;2020/04/14 07:00:00;12;201,17;28;469,4;679
Humanes de Madrid                           ;2020/04/14 07:00:00;27;131,02;86;417,31;730
Chinchón                                    ;2020/04/14 07:00:00;10;193,76;23;445,65;528
